"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"60",4541.08984375,4575.64990234375,4517.68994140625,4575.52001953125,4312260000,4575.52001953125
"61",4602.85986328125,4637.2998046875,4589.66015625,4631.60009765625,5085910000,4631.60009765625
"62",4624.2001953125,4627.77001953125,4581.31982421875,4602.4501953125,4385570000,4602.4501953125
"63",4599.02001953125,4603.06982421875,4530.41015625,4530.41015625,4823020000,4530.41015625
"64",4540.31982421875,4548.7001953125,4507.56982421875,4545.85986328125,4562940000,4545.85986328125
"65",4547.97021484375,4583.5,4539.2099609375,4582.64013671875,4547350000,4582.64013671875
"66",4572.4501953125,4593.4501953125,4514.169921875,4525.1201171875,4800620000,4525.1201171875
"67",4494.169921875,4503.93994140625,4450.0400390625,4481.14990234375,4986830000,4481.14990234375
"68",4474.64990234375,4521.16015625,4450.2998046875,4500.2099609375,4821490000,4500.2099609375
"69",4494.14990234375,4520.41015625,4474.60009765625,4488.27978515625,4083200000,4488.27978515625
"70",4462.64013671875,4464.35009765625,4408.3798828125,4412.52978515625,4266290000,4412.52978515625
"71",4437.58984375,4471,4381.33984375,4397.4501953125,4152090000,4397.4501953125
"72",4394.2998046875,4453.919921875,4392.7001953125,4446.58984375,3828150000,4446.58984375
"73",4449.1201171875,4460.4599609375,4390.77001953125,4392.58984375,4083090000,4392.58984375
"74",4385.6298828125,4410.31005859375,4370.2998046875,4391.68994140625,3910490000,4391.68994140625
"75",4390.6298828125,4471.02978515625,4390.6298828125,4462.2099609375,4108120000,4462.2099609375
"76",4472.259765625,4488.2900390625,4448.759765625,4459.4501953125,4290450000,4459.4501953125
"77",4489.169921875,4512.93994140625,4384.47021484375,4393.66015625,4636890000,4393.66015625
"78",4385.830078125,4385.830078125,4267.6201171875,4271.77978515625,4651940000,4271.77978515625
"79",4255.33984375,4299.02001953125,4200.81982421875,4296.1201171875,5240040000,4296.1201171875
"80",4278.14013671875,4278.14013671875,4175.0400390625,4175.2001953125,4689970000,4175.2001953125
"81",4186.52001953125,4240.7099609375,4162.89990234375,4183.9599609375,4769680000,4183.9599609375
"82",4222.580078125,4308.4501953125,4188.6298828125,4287.5,4854180000,4287.5
"83",4253.75,4269.68017578125,4124.27978515625,4131.93017578125,5084030000,4131.93017578125
"84",4130.60986328125,4169.81005859375,4062.51000976562,4155.3798828125,5163790000,4155.3798828125
"85",4159.77978515625,4200.10009765625,4147.080078125,4175.47998046875,4582050000,4175.47998046875
"86",4181.18017578125,4307.66015625,4148.91015625,4300.169921875,5136360000,4300.169921875
"87",4270.43017578125,4270.43017578125,4106.009765625,4146.8701171875,5077030000,4146.8701171875
"88",4128.169921875,4157.68994140625,4067.90991210938,4123.33984375,5116940000,4123.33984375
"89",4081.27001953125,4081.27001953125,3975.47998046875,3991.23999023438,5954520000,3991.23999023438
"90",4035.17993164062,4068.82006835938,3958.169921875,4001.05004882812,5885820000,4001.05004882812
"91",3990.080078125,4049.09008789062,3928.82006835938,3935.17993164062,5816140000,3935.17993164062
"92",3903.94995117188,3964.80004882812,3858.8701171875,3930.080078125,6286450000,3930.080078125
"93",3963.89990234375,4038.8798828125,3963.89990234375,4023.88989257812,5183340000,4023.88989257812
"94",4013.02001953125,4046.4599609375,3983.98999023438,4008.01000976562,4415030000,4008.01000976562
"95",4052,4090.71997070312,4033.92993164062,4088.85009765625,4841410000,4088.85009765625
"96",4051.97998046875,4051.97998046875,3911.90991210938,3923.67993164062,5103220000,3923.67993164062
"97",3899,3945.9599609375,3876.580078125,3900.7900390625,5113550000,3900.7900390625
